@relation plural
@attribute frequency NUMERIC
@attribute p1 {+, +l, +r, -, =, =l, =v, J, N, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, b, bl, br, d, dl, dm, dn, dr, f, fl, fr, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, n, p, pj, pl, pn, pr, ps, pt, r, s, s=, sf, sk, skl, skr, sl, sm, sp, st, stj, str, sv, t, tl, tn, tr, v, vj, x, z}
@attribute p2 {#, &, ), -, /, 0, 1, 2, 6, @, B, E, I, O, U, W, X, Y, a, e, i, o, q, u, y, |, ~}
@attribute p3 {+, -, =, =t, J, N, Nk, Nkt, Ns, Nst, Nt, S, d, f, f=, fs, ft, k, ks, kst, kt, l, l=, lS, lf, lfs, lk, lks, lm, lp, lps, lpst, ls, lst, lt, lx, m, m+, m=, mf, mp, ms, mt, n, n=, nJ, nS, nd, nf, nf=, nft, ns, nst, nt, ntl, nx, p, ps, pst, pt, r, r=, rS, rf, rk, rkt, rl, rm, rn, rnst, rp, rpst, rs, rst, rt, rx, s, sp, st, t, x, x=, xs, xst, xt}
@attribute p4 {+, +l, +r, -, =, =l, =v, J, N, Nl, S, Sl, Sm, Sn, Sp, Spl, Spr, Sr, St, Str, Sv, Z, _, _m, b, bl, br, d, dl, dn, dr, f, fj, fl, fr, ft, g, gl, gm, gn, gr, h, j, k, kl, kn, kr, ks, kv, l, m, ml, n, p, pl, pn, pr, ps, r, s, s=, sf, sk, skr, skv, sl, sn, sp, sr, st, str, sv, t, tl, tn, tr, tv, v, vj, vr, x, xl, z, zn} 
@attribute p5 {#, $, &, ), /, 0, 4, @, B, E, I, O, U, W, X, Y, ^, a, e, i, o, q, u, y, (, |, ~}
@attribute p6 {+, -, =, J, N, Nk, Nks, Nkt, Nst, S, Z, _, b, f, ft, k, ks, kst, kt, l, l=, lf, lk, lm, lp, lps, ls, lst, lt, lx, m, m+, mS, mf, mp, mps, ms, mt, n, n=, nJ, nS, nd, nf, nft, ns, nst, nt, nx, p, ps, pst, pt, r, r=, r=t, rS, rf, rft, rk, rkt, rl, rm, rn, rp, rpst, rpt, rs, rst, rt, rx, s, sk, st, t, v, x, x=, xt}
@attribute gender {-, F, FM, FN, M, MF, MN, N, NF, NM}
@attribute class {-, U, Ue, Uer, e, en, er, s}

@data
11,s,@,-,r,U,N,F,en
1,s,I,x,k,W,t,F,en
1,t,@,n,=,B,n,M,Ue
10,=v,W,-,g,U,N,F,en
0,g,a,-,b,@,-,F,en
1,tr,W,-,d,@,l,M,-
1,r,E,-,n,@,n,N,-
0,dr,y,-,z,@,-,F,en
2,s,i,-,-,e,-,M,s
2,kv,E,-,d,U,kt,MN,e
0,v,I,k,l,@,r,M,-
0,gr,),-,t,@,-,F,en
5,t,E,r,m,i,n,M,e
11,St,X,-,-,@,r,F,en
1,r,&,-,g,u,-,N,s
0,br,E,m,z,@,-,F,en
87,l,W,-,-,@,-,M,en
673,-,-,-,-,O,rt,M,e
2,z,&,-,l,~,-,M,s
0,Sl,Y,-,s,@,l,M,-
1,d,I,-,g,U,N,F,en
1,St,e,-,-,@,r,M,-
0,t,E,n,d,@,r,M,-
5,-,-,-,t,&,N,M,e
0,l,i,-,t,),t,F,en
0,h,&,-,m,@,r,M,U
23,f,Y,r,st,I,n,F,en
0,g,@,-,v,E,ks,N,e
12,s,@,-,r,W,-,F,en
0,St,e,-,-,@,r,M,-
38,p,&,r,k,E,t,N,e
0,g,W,-,l,@,-,F,en
167,g,a,r,t,@,n,M,U
37,k,Y,r,=,U,N,F,en
0,-,I,n,l,B,t,M,e
13,g,B,-,m,@,n,M,-
3,-,o,n,st,@,l,N,-
15,g,W,-,g,@,r,M,-
1,m,i,-,r,U,N,F,en
3,p,@,l,+,a,t,M,e
1058,l,i,-,=,W,-,F,en
93,l,o,-,g,i,-,F,en
37,l,W,-,-,U,N,F,en
0,br,a,-,t,@,n,M,-
0,n,E,s,t,@,l,F,en
0,t,i,-,k,@,r,M,-
0,b,i,s,v,I,nt,M,e
6,S,@,n,v,E,rk,N,e
24,kl,I,-,N,@,-,F,en
0,h,e,-,b,@,r,M,-
0,r,&,-,t,u,r,F,en
6,S,&,ft,l,@,r,M,-
0,-,E,-,k,@,-,F,en
0,k,u,-,x,@,n,M,-
1,l,o,-,h,E,mt,N,en
212,-,&,s,p,E,kt,M,e
1,p,@,r,b,a,n,F,en
4,t,@,n,S,W,n,M,e
0,d,X,-,t,U,N,F,en
27,h,&,-,l,@,-,F,en
5,r,o,-,n,a,t,N,e
13,v,U,n,d,U,N,F,en
0,v,),s,l,W,n,N,-
1,l,a,r,m,e,r,N,e
9,d,I,-,n,@,r,N,s
0,-,U,m,dr,U,k,M,e
0,t,&,l,j,@,-,F,en
0,b,i,k,m,a,s,N,e
7,pr,i,-,-,O,r,M,en
15,m,W,s,t,@,r,M,-
9,l,q,-,s,@,-,F,en
411,-,-,-,g,u,t,N,Uer
15,-,&,p,Sn,I,t,M,e
2,kl,I,N,k,@,r,M,-
0,v,E,n,d,@,-,N,-
1,-,-,-,+,E,rx,M,e
0,str,U,k,t,O,r,M,en
0,z,a,-,-,I,st,M,en
0,h,&,-,k,@,r,M,-
2,-,u,-,h,u,-,M,s
1,z,I,-,gn,e,t,N,s
0,r,U,-,t,i,-,N,s
98,l,e,-,g,I,n,F,en
2,t,@,n,t,y,r,F,en
29,v,W,t,Spr,U,N,M,Ue
0,d,e,-,r,i,t,M,en
106,g,e,-,b,@,r,M,-
28,m,W,-,z,@,-,F,en
6,tr,a,-,l,@,-,F,en
322,k,&,n=,l,@,r,M,-
0,=,I,-,g,@,r,M,-
1,l,e,-,g,@,-,N,-
0,n,e,-,-,a,s,N,s
956,z,&,-,x,@,-,F,en
3554,d,X,J,l,&,nt,N,e
18,b,I,r,g,@,-,N,-
1,r,o,-,z,@,-,F,en
2,z,E,ks,-,E,k,N,e
0,m,@,r,z,&,t,M,e
7,l,i,-,t,),t,F,en
0,p,@,n,f,E,l,N,e
0,t,e,-,Z,e,-,M,s
0,m,/,r,d,@,r,M,-
1,-,o,-,t,e,k,F,en
8,t,@,n,pr,W,s,M,e
44,f,@,r,z,U,xt,F,Ue
7,b,i,-,t,U,N,F,en
0,l,i,-,t,@,r,M,-
17,l,I,x,k,W,t,F,en
6,S,E,r,f,U,N,F,en
3,f,@,r,d,&,x,N,Uer
0,d,I,-,k,U,N,F,en
55,m,E,-,s,U,N,F,en
0,b,&,-,z,i,-,F,en
0,fl,&,-,m,@,-,F,en
2,s,@,n,S,&,ft,F,en
0,v,o,-,n,@,r,M,-
2,z,e,-,-,@,r,M,-
2,N,U,Ns,=,a,l,F,en
280,x,@,-,r,U,N,F,en
0,j,U,-,N,@,-,M,en
0,p,u,-,t,&,nt,M,en
166,-,-,-,br,&,nt,M,Ue
0,S,Y,r,=,@,-,F,en
5,t,@,r,f,a,rt,F,en
0,t,i,r,x,@,n,N,-
73,St,&,l,t,U,N,F,en
0,=,i,-,-,a,l,M,e
0,_,&,-,t,u,r,F,en
5,l,e,-,n,@,-,F,en
0,k,o,-,p,I,st,M,en
457,n,a,x,r,I,xt,F,en
0,n,e,f,r,i,t,M,e
5,gr,),-,t,@,-,F,en
0,=,i,-,-,o,n,F,en
0,S,i,-,b,U,N,F,en
5,z,W,-,d,@,l,N,-
2,pl,a,-,n,U,N,F,en
35,n,e,-,m,@,n,N,-
491,t,i,-,k,@,r,M,-
0,fl,u,k,l,O,x,N,Uer
0,d,@,l,d,&,x,N,Uer
0,=,i,-,-,o,n,F,en
10,k,B,fs,r,E,xt,N,e
1,l,Y,p,d,@,-,N,-
10,n,o,-,r,&,k,M,s
0,d,E,Nk,m,a,l,N,e
2,-,-,-,m,E,rk,N,e
32,r,I,x,t,U,N,F,en
3,=,i,-,-,o,n,F,en
0,Sl,&,m,b,a,t,N,Uer
0,=,i,-,-,o,n,F,en
2,n,o,-,gr,&,m,N,e
1,pr,o,-,j,E,kt,N,e
0,-,i,-,k,@,r,M,-
0,p,X,n,t,@,r,M,-
22,z,I,n,b,I,lt,N,er
0,f,E,r,l,W,-,M,e
0,m,&,ns,h,W,m,N,e
15,z,I,s,t,O,r,M,en
0,Spr,E,N,v,E,rk,N,e
4,d,E,N,k,@,r,M,-
0,Sp,y,-,r,@,r,M,-
127,t,E,-,l,i,t,M,en
21,l,&,-,k,W,-,M,en
23,f,e,-,r,E,n=,F,en
21,v,W,-,z,U,N,F,en
0,St,a,-,k,@,-,F,en
8,f,e,-,l,@,r,M,-
316,f,E,N,n,I,s,N,e
11,v,E,k,sl,U,N,F,en
29,g,@,n,=,W,t,F,en
0,m,E,-,s,@,r,M,-
1,l,o,-,r,i,t,N,e
4,z,E,=,x,@,n,N,-
51,z,i,-,g,@,r,M,-
27,z,/,l,dn,@,r,M,-
1,l,I,x,k,W,t,F,en
0,b,I,lt,n,@,r,M,-
0,t,o,n,k,O,+,M,Ue
0,t,B,-,b,@,-,F,en
2,-,W,-,x,@,-,F,en
3,br,E,ms,kl,O,=,M,Ue
1,k,U,l,t,),t,F,en
16,m,@,l,b,&,nt,M,Ue
0,d,u,-,-,a,l,M,e
1,k,y,n,h,W,t,F,en
19,t,i,-,m,I,st,M,en
1,z,i,-,t,u,r,F,en
47,l,e,-,z,@,-,F,en
1,k,u,-,l,a,r,N,e
58,-,&,k,s,@,-,F,en
3,gl,/,k,x,@,n,N,-
8,t,o,-,n,i,-,F,en
169,tr,&,x,t,U,N,F,en
0,b,i,-,t,U,N,F,en
1,r,o,-,z,@,-,F,en
3,St,&,rt,l,O,x,N,Uer
7,n,i,-,k,@,r,M,-
1,Sv,),-,r,@,-,F,en
0,-,o,-,p,@,r,F,en
20,S,a,-,l,@,-,F,en
2,z,@,-,r,W,-,F,en
8,S,E,-,t,@,-,F,en
0,m,i,-,k,@,r,M,-
2,k,o,-,z,U,N,F,en
0,St,e,-,v,@,n,M,-
20,g,i,-,-,@,-,F,en
35,l,I,x,k,W,t,F,en
2,St,&,m,f,O,rm,F,en
3,v,a,-,g,@,n,M,-
7,b,@,-,r,u,f,M,e
5,z,i,-,l,o,-,MN,s
0,d,@,r,b,U,nt,M,Ue
0,j,u,-,t,U,m,N,en
1,tr,a,-,g,U,N,F,en
0,r,&,-,t,u,r,F,en
2,x,U,Ns,g,E,lt,N,er
4,z,I,l,b,@,-,F,en
0,r,&,-,z,o,l,M,s
5,f,E,r,l,a,k,M,e
0,b,@,l,Sp,a,n,M,Ue
6,-,E,-,z,~,-,F,s
1,f,E,r,tr,a,k,M,Ue
0,n,O,rm,bl,&,t,N,Uer
199,gr,U,nt,St,U,k,N,e
11,-,@,r,t,a,k,M,e
8,p,O,st,S,E,k,M,s
2,b,I,-,g,U,N,F,en
15,l,I,x,k,W,t,F,en
0,v,&,l,d,U,N,F,en
2,=,i,-,-,o,n,F,en
0,=,i,-,-,o,n,F,en
38,p,e,-,t,i,t,M,e
3,r,&,s,t,@,r,M,-
6,t,E,n,d,@,r,M,-
0,f,O,l,g,@,-,F,en
3,n,a,l,r,a,t,M,Ue
2,kr,i,ks,l,I,st,F,en
285,-,-,-,r,W,s,M,e
0,-,o,-,l,@,-,F,en
95,l,o,-,n,i,-,F,en
13,-,-,-,m,O,lx,M,e
3,v,I,-,s,@,r,M,-
0,f,&,-,l,i,-,F,en
0,fl,u,-,t,U,N,F,en
1,g,@,-,Spr,),x,N,e
0,Str,E,-,k,@,-,F,en
553,pr,E,-,s,@,-,F,en
1,m,&,rk,St,Y,k,N,e
15,S,W,-,t,@,l,M,-
1,fr,W,-,-,U,N,F,en
1,kl,),-,r,U,N,F,en
10,l,U,ft,v,e,k,M,e
46,gr,y,-,s,U,N,F,en
0,z,o,-,d,E,rm,N,e
0,r,W,-,z,@,-,F,en
216,r,E,n,t,@,-,F,en
4,=,i,-,r,U,N,F,en
2,b,o,-,-,@,-,F,en
0,bl,y,-,t,@,-,F,en
9,k,&,-,r,@,-,F,en
0,m,O,r=,d,I,N,N,e
22,n,a,-,m,@,-,F,en
0,h,|,r,z,I,n,M,e
0,r,i,-,r,U,N,F,en
4,f,B,st,Sl,a,k,M,Ue
79,S,B,-,-,U,N,F,en
0,St,E,-,l,U,N,F,en
18,l,W,t,b,I,lt,N,er
12,j,u,-,v,e,l,N,en
0,S,E,m,p,u,-,N,s
0,n,o,t,t,y,r,F,en
0,v,i,-,d,E,nt,M,en
1,kr,&,=,f,u,s,M,Ue
0,St,Y,-,k,U,N,F,en
0,=,W,x,n,@,r,M,-
29,d,@,s,t,a,k,M,e
0,k,O,m,pl,e,t,N,s
2,x,O,l,d,@,r,M,-
0,m,e,-,r,a,t,N,e
1,p,&,l,m,@,-,F,en
69,Sr,W,-,b,U,N,F,en
0,d,@,n,b,B,m,M,Ue
0,r,i,-,-,@,r,M,-
0,b,E,r,n,@,-,F,en
2,pl,&,-,t,@,-,F,en
1,l,e,-,r,@,r,M,-
1,r,@,n,f,E,l,N,e
0,z,@,nt,S,|,n,N,e
31,m,i,-,k,@,r,M,-
13,r,Y,k,Sl,U,s,M,Ue
1,z,I,Nk,St,O,f,M,e
3,b,@,s,g,O,t,M,Uer
0,z,I,x,h,O,l=,N,Uer
3,b,Y,k,s,@,-,F,en
3,-,i,-,r,U,N,F,en
0,-,&,s,f,&,lt,M,e
523,v,E,lt,kr,i,k,M,e
0,St,U,n,d,@,-,F,en
0,n,i,-,t,),t,F,en
13,Spr,E,-,N,U,N,F,en
1,=,W,-,l,@,r,M,-
6,z,e,-,h,U,nt,M,e
1,tr,i,-,-,a,-,N,-
0,S,&,l,t,@,r,M,-
61,v,i,-,n,@,r,M,-
12,z,X,-,r,@,-,F,en
0,b,o,-,r,@,r,M,-
5,j,e,-,m,&,nt,M,e
7,b,Y,r,st,@,-,F,en
8,m,&,n,=,@,-,F,en
165,l,a,-,g,@,-,F,en
0,b,i,-,n,@,-,F,en
5,=,i,-,-,o,n,F,en
467,-,-,-,Sp,O,rt,M,e
4,S,E,r,p,@,-,F,en
11,t,),r,d,i,nst,M,e
10,br,I,-,l,@,-,F,en
0,=,i,-,-,o,n,F,en
6,fl,i,-,d,@,r,M,-
2,S,u,l,-,a,r=t,M,Ue
0,t,o,n,v,e,rt,M,e
1,S,u,-,l,@,-,F,en
387,-,-,-,m,U,nt,M,Uer
24,kl,&,-,s,@,-,F,en
0,g,@,-,b,u,rt,F,en
0,h,Y,-,l,@,-,F,en
1,g,@,-,r,I,xt,N,e
1,Spr,a,-,x,@,-,F,en
19,-,-,-,v,&,t,N,en
2,m,W,s,t,@,r,M,-
5,-,a,-,b,@,nt,M,e
26,=,y,-,g,@,l,M,-
565,f,o,r,St,&,nt,M,Ue
0,z,&,f,t,@,r,M,-
1,=,i,-,-,o,n,F,en
0,f,@,-,r,W,-,F,en
0,St,B,-,x,U,N,F,en
34,d,i,-,r,U,N,F,en
20,l,I,x,k,W,t,F,en
0,k,&,-,m,@,r,F,en
53,-,o,-,n,),r,M,e
2,n,a,-,d,@,-,F,en
42,k,O,m,n,U,N,F,en
7,g,E,-,N,@,r,M,-
8,-,I,m,+,U,N,F,en
0,v,I,-,p,@,r,M,-
2,m,@,l,pl,&,=,M,Ue
16,-,-,-,=v,E,rk,M,e
39,g,@,-,f,E,xt,N,e
55,r,I,-,t,@,r,M,-
8,Sr,W,-,b,U,N,F,en
2,=,o,-,t,@,-,F,en
5,-,-,-,S,E,lm,M,e
2,d,I,s,k,&,nt,M,e
10,b,I,l,d,U,N,F,en
1,t,i,-,t,O,r,M,en
1,f,@,r,br,W,-,M,e
8,Sp,&,r,g,@,l,M,-
46,-,/,f,n,U,N,F,en
4,=,i,-,-,o,n,F,en
1,fl,u,k,=,X,k,N,e
471,l,I,-,g,U,N,F,en
2,t,@,n,r,B,m,M,Ue
23,b,I,l,d,@,r,M,-
27,m,i,-,gr,&,nt,M,en
9,l,I,x,k,W,t,F,en
3,gr,o,p,h,W,t,F,en
0,l,a,-,g,@,-,F,en
9,m,e,-,tr,i,-,F,en
1,=,i,-,-,o,n,F,en
1,g,a,r,t,@,n,M,U
0,m,E,s,t,@,r,N,-
0,r,o,-,g,@,-,F,en
1,t,@,r,h,B,pt,N,Uer
4,=,I,s,m,U,s,M,en
48,k,&,-,s,@,-,F,en
1,g,@,-,v,E,ks,N,e
11,h,&,-,l,o,-,N,s
4,ks,a,-,t,O,r,M,en
18,l,e,-,m,E,nt,N,e
0,t,@,m,+,a,l,M,Ue
0,b,e,-,z,@,n,M,-
6,m,&,-,x,U,N,F,en
29,d,O,-,p,@,l,N,-
4,l,a,-,g,@,-,F,en
5,Sn,I,t,s,@,r,M,-
60,b,@,r,h,B,pt,N,Uer
0,v,o,-,n,U,N,F,en
6,f,E,x,t,U,N,F,en
2,fl,I,n,t,@,-,F,en
0,Sl,I,=,-,o,r,N,en
9,f,i,-,b,@,r,N,-
8,kl,),-,r,U,N,F,en
7,m,o,-,n,i,-,F,en
0,k,|,-,n,I,x,M,e
0,Spr,W,-,=,@,-,F,en
192,-,&,n,z,&,=,M,Ue
39,-,-,-,t,i,f,N,s
15,g,@,-,l,U,N,F,en
1,n,i,-,-,@,-,F,en
0,r,I,l,j,a,-,F,s
78,-,-,-,Sv,e,rt,N,er
0,=,i,-,-,o,n,F,en
0,tr,&,ns,p,O,rt,M,e
2,b,X,-,g,@,-,F,en
1,b,E,Nk,x,@,n,N,-
5,b,X,-,g,U,N,F,en
1,-,&,r,x,a,t,N,e
5,l,e,n,St,u,l,M,Ue
0,-,&,k,n,@,-,F,en
150,gl,B,-,b,@,n,M,-
3,v,O,r,t,U,N,F,en
0,tr,&,-,=,@,-,F,en
6,r,y,p,x,@,n,N,-
0,t,&,kt,m,a,s,N,e
0,f,&,-,z,i,-,F,en
1,bl,I,n,d,U,N,F,en
1,=,i,-,-,o,n,F,en
0,h,W,-,m,@,r,M,-
0,-,-,-,m,U,ks,M,e
79,Str,a,-,l,U,N,F,en
1,t,U,r,n,@,r,M,-
2,p,U,f,r,o,r,N,e
2,-,u,r,t,y,p,M,en
9,n,a,-,t,O,r,M,en
7,r,i,-,r,U,N,F,en
15,n,@,n,h,o,f,M,Ue
0,n,~,-,s,@,-,F,en
7,kr,E,N,k,U,N,F,en
0,z,o,-,l,@,-,F,en
19,br,I,x,k,W,t,F,en
5,d,i,-,z,@,l,M,-
0,l,@,-,r,W,-,F,en
1,Sp,i,-,g,@,l,M,-
2,gr,u,-,b,@,-,F,en
0,-,&,l,b,U,m,N,en
2,r,o,-,m,a,n,M,e
4,z,I,x,k,W,t,F,en
0,t,o,-,gr,&,m,N,e
482,=,o,-,n,@,-,F,en
1,z,E,-,n,@,-,F,en
2,p,U,l,f,@,r,N,-
20,f,E,r,z,u,x,M,e
0,g,a,-,t,u,r,F,en
0,b,e,-,r,@,-,F,en
1,t,O,rf,m,o,r,N,e
3,b,U,-,t,@,-,F,en
0,r,e,-,p,U,ls,M,e
0,s,@,n,h,W,t,F,en
8,l,u,-,k,@,-,F,en
0,v,E,n,t,i,l,N,e
30,-,E,-,s,e,-,MN,s
8,=,@,-,r,I,n,F,en
0,l,e,r,St,&,nt,M,Ue
1,h,&,lp,m,o,nt,M,e
2,l,B,f,g,&,N,M,Ue
5,f,a,r=,-,O,rt,M,e
1,n,O,-,+,@,r,N,-
9,v,E,n,d,U,N,F,en
1,n,@,n,h,u,t,M,Ue
5,m,W,n,n,I,xt,N,e
19,=,W,-,x,@,n,N,-
40,n,@,-,m,q,-,N,s
1,-,E,ks,=,E,rpt,N,e
1,l,e,n,v,O,rt,N,Uer
0,Spr,U,N,z,W,l,N,e
36,Sl,&,xt,f,E,lt,N,er
11,Sp,E,n,d,@,r,M,-
0,-,e,-,r,U,N,F,en
0,s,i,-,r,U,N,F,en
1,+,U,-,S,@,r,M,-
53,St,E,-,l,@,r,M,-
27,sk,U,lp,t,u,r,F,en
4,t,U,-,S,@,-,F,en
0,x,@,-,r,U,N,F,en
9,z,e,-,b,a,t,N,Uer
0,n,@,-,r,W,-,F,en
0,-,&,n,=,u,k,M,Ue
1,St,u,-,b,@,-,F,en
5,-,-,-,S,U,ft,M,e
0,g,&,-,s,@,-,M,en
144,t,i,-,v,I,st,M,en
4,r,U,-,s,I,n,F,en
3,s,@,r,r,o,r,N,e
0,k,u,-,p,e,-,N,s
8,=,i,-,-,o,n,F,en
12,fr,),-,z,@,-,F,en
238,h,&,n,dl,U,N,F,en
0,k,&,-,=,@,-,F,en
118,v,&,-,f,@,-,F,en
14,b,u,-,x,U,N,F,en
3,gr,o,s,f,Y,rst,M,en
3,S,e,-,m,@,n,MN,-
0,h,X,t,x,@,n,N,-
0,p,a,-,t,I,n,F,en
0,r,|,-,r,@,-,F,en
0,=,i,-,-,o,n,F,en
0,z,i,k,St,Y,k,N,e
9,m,&,n,S,&,ft,F,en
19,t,@,-,m,q,-,N,s
1,S,@,-,r,I,n,F,en
2,Sv,&,x,Str,o,m,M,Ue
3,r,&,-,p,i,-,F,en
0,l,e,-,d,@,r,N,-
2,-,a,-,l,@,-,F,en
5,n,X,-,j,a,r,N,e
33,-,-,-,d,&,m+,M,Ue
11,l,I,s,t,I,n,F,en
0,m,o,-,n,a,t,M,e
1,=,W,-,x,@,n,N,-
0,br,&,-,ks,@,-,F,en
22,r,a,-,t,O,r,M,en
0,z,U,-,m,@,-,F,en
15,l,&,N,l,B,f,M,Ue
12,n,i,-,-,@,-,F,en
0,h,X,s,l,@,r,M,-
19,f,O,r,S,U,N,F,en
2,l,@,-,r,I,n,F,en
0,l,X,-,f,@,r,M,-
1,r,O,st,fl,E,k,M,e
0,g,@,-,r,),t,N,e
2,b,i,-,k,O,+,M,Ue
0,p,i,-,n,@,-,F,en
2,g,@,-,b,u,rt,F,en
216,f,@,-,r,U,N,F,en
8,v,I,-,+,@,l,M,-
20,t,u,-,m,U,lt,M,e
41,p,&,rt,n,@,r,M,-
63,-,-,-,v,U,rst,F,Ue
2,m,&,-,m,U,t,N,e
0,=,e,-,r,U,N,F,en
64,=,a,-,l,@,r,M,-
6,t,@,n,kn,O,+,M,Ue
16,-,&,p,Str,I,x,M,e
1,S,B,m,v,W,n,M,e
4,k,I,r,S,@,-,F,en
8,d,e,-,g,@,n,M,-
0,g,@,-,r,@,r,M,-
494,l,i,-,n,@,r,M,-
0,n,@,n,r,W,=,M,e
4,-,-,-,g,E,k,M,en
0,v,i,-,t,u,t,N,e
4,l,e,-,r,@,r,M,-
8,m,W,n,d,@,-,F,en
0,b,i,-,n,@,-,F,en
1,f,E,=,x,@,n,N,-
636,-,a,-,t,@,r,N,-
11,h,W,-,l,&,nt,M,e
284,r,i,-,m,E,nt,N,e
0,-,&,r,b,W,t,F,en
10,r,W,-,g,@,n,M,-
0,fl,&,-,S,@,-,F,en
19,g,a,-,Z,@,-,F,en
0,f,o,-,r,I,k,F,en
1,d,y,-,z,@,-,F,en
8,x,o,-,z,@,-,F,en
0,-,o,-,b,&,nt,N,Uer
0,r,&,-,k,@,-,F,en
2,kn,a,-,b,@,-,M,en
77,St,&,l,t,@,r,M,-
10,v,W,-,z,@,-,F,en
0,-,-,-,z,u,-,M,s
76,-,-,-,p,&,s,M,Ue
0,l,a,r,j,a,r,N,e
0,x,@,-,r,W,-,F,en
3,tr,),-,g,@,r,M,-
1,v,&,-,l,I,st,M,en
0,n,@,n,h,&,ls,M,Ue
6,n,e,-,b,@,l,M,-
0,m,),t,x,@,n,N,-
1,+,&,r,h,E,r,M,en
1,sl,o,-,f,O,ks,M,e
0,k,O,m,p,O,t,N,e
0,g,@,-,S,E,ft,N,e
0,-,e,-,g,o,-,N,s
34,m,u,-,z,@,-,F,en
21,l,e,-,n,U,N,F,en
4,-,@,ns,br,U,x,M,Ue
0,=,@,r,t,U,rm,M,Ue
1,st,I,x,k,W,t,F,en
1,m,E,-,s,@,r,N,-
0,=,i,-,-,o,n,F,en
0,r,W,s,bl,W,-,N,e
0,f,U,n,z,@,l,F,en
1,z,E,l,S,&,ft,F,en
19,k,E,m,+,@,r,M,-
0,Sl,e,-,-,@,-,F,en
10,=,u,k,kr,&,ft,F,Ue
4,=,Y,s,t,@,-,F,en
1,b,@,-,r,W,-,F,en
84,l,e,-,g,@,r,M,-
31,p,O,r,t,|,r,M,e
39,-,&,t,l,e,t,M,en
1,n,o,-,gr,a,f,M,en
0,-,-,-,b,U,t,M,e
0,-,@,r,h,O,rst,M,e
223,n,&,-,d,a,-,N,s
1,pr,a,l,h,&,ns,M,Ue
7,v,i,-,=,@,-,M,en
16,v,E,rk,St,Y,k,N,e
0,Sl,E,p,n,E,=,N,e
0,v,e,-,b,@,-,N,-
5,S,i,-,n,@,-,F,en
7,d,U,Ns,m,&,n,M,Uer
42,f,E,-,N,@,r,M,-
3,gr,E,n,=,@,-,F,en
7,Sn,U,-,p,@,-,F,en
0,k,I,r,x,@,-,F,en
4,-,-,-,Sv,&,Nk,M,Ue
43,m,|,-,v,@,-,F,en
4,b,@,r,fl,E,k,M,e
31,j,a,r,b,u,x,N,Uer
12,St,u,-,f,U,N,F,en
0,r,),t,z,@,l,N,-
0,-,o,-,b,&,nt,M,Ue
15,z,e,-,-,@,r,M,-
0,-,-,-,p,U,lp,M,en
0,s,a,-,Z,@,-,F,en
113,f,e,-,d,@,r,F,en
6,t,&,k,t,I,k,F,en
0,n,i,-,t,u,r,F,en
0,S,|,-,n,U,N,F,en
7,g,@,-,p,&,rt,M,e
2,=,I,N,k,@,-,F,en
3,t,@,-,r,U,N,F,en
1,f,e,-,l,@,r,M,-
1,-,&,-,l,I,st,M,en
3,n,i,-,-,U,m,N,en
16,t,i,-,g,&,l,F,en
0,z,U,l,f,a,t,N,e
688,-,B,-,t,o,-,N,s
0,k,&,lps,br,U,st,F,Ue
9,tr,e,-,t,U,N,F,en
10,l,i,-,r,U,N,F,en
0,r,i,-,n,@,-,F,en
5,St,I,m,b,&,nt,N,Uer
11,n,@,-,r,I,n,F,en
11,z,y,-,m,e,-,N,s
6,St,I,f,t,@,r,M,-
2,h,E,f,t,@,r,M,-
0,l,I,-,ps,I,st,M,en
5,t,W,ls,Spr,U,x,M,Ue
0,b,@,ns,-,&,Nst,F,Ue
2,h,Y,-,t,@,-,F,en
8,fr,e,-,f,@,l,M,-
458,-,W,k,n,I,s,N,e
10,n,e,-,m,@,r,M,-
0,fl,&,-,S,@,-,F,en
0,dr,W,-,-,E,k,N,e
1,br,&,nt,v,W,n,M,e
0,=,i,-,-,o,n,F,en
0,p,@,-,l,U,N,F,en
4,-,&,p,St,&,nt,M,Ue
56,Z,y,-,r,i,-,F,s
131,r,i,-,-,U,m,N,en
0,St,E,nt,l,@,r,M,-
0,f,I,S,l,W,m,M,e
2,gr,U,-,p,@,-,F,en
1,r,e,-,g,@,l,F,en
112,t,&,-,ks,i,-,N,s
0,=,i,-,-,o,n,F,en
5,k,X,S,h,W,t,F,en
25,l,W,s,t,U,N,F,en
5,g,@,n,t,a,k,M,e
2,pl,u,-,r,a,l,M,e
0,S,a,l,h,O,l=,N,Uer
1,f,&,r,b,@,-,F,en
0,d,I,x,k,W,t,F,en
0,z,U,-,m,@,-,F,en
160,l,o,-,g,i,-,F,en
2,Sp,I,-,r,I,t,M,s
1,S,&,-,t,@,n,M,-
0,n,@,-,v,&,s,M,-
0,r,i,-,-,U,m,N,en
216,kl,o,s,t,@,r,N,U
33,s,@,n,h,W,t,F,en
0,b,I,l,d,U,N,F,en
15,d,@,n,f,&,l,M,Ue
9,n,i,-,t,u,r,F,en
0,t,B,-,p,U,Nkt,M,e
28,v,E,t,Str,W,t,M,e
0,=,W,-,x,@,n,N,-
0,f,@,n,n,&,+,M,Ue
6,Sm,I,N,k,@,-,F,en
0,g,i,-,k,@,r,M,-
